job_id,title,company,added_at,source,job_category,date
linkedin_4414519056,Ingénieur en logiciels II,TD,2026-05-14T20:33:17.158468,LinkedIn,Other,2026-05-14
linkedin_4403652602,SR Guidewire Certified Claim Center developer- Onsite,Cognizant,2026-05-14T20:33:17.161639,LinkedIn,Software / Tech,2026-05-14
linkedin_4408268589,"Intern, Full Stack Software Engineer - Team Tachyon One - Fall 2026",Capital One,2026-05-14T20:33:17.163051,LinkedIn,Co-op / Intern,2026-05-14
linkedin_4414272599,Data Associate,TD,2026-05-14T20:33:17.164821,LinkedIn,Other,2026-05-14
linkedin_4414200694,"Analyst, Inventory Operations",StackAdapt,2026-05-14T20:33:17.167031,LinkedIn,Analyst / BA / SA,2026-05-14
linkedin_4414513466,Associé en données,TD,2026-05-14T20:33:17.168131,LinkedIn,Other,2026-05-14
linkedin_4414277986,MyClient Support Analyst,CIBC,2026-05-14T20:33:17.169432,LinkedIn,Analyst / BA / SA,2026-05-14
linkedin_4404939442,"Analyste II, Systèmes opérationnels",TD,2026-05-14T20:33:17.170207,LinkedIn,Analyst / BA / SA,2026-05-14
linkedin_4414533892,Project Analyst - I.S.,St. Joseph's Healthcare Hamilton,2026-05-14T20:33:17.171529,LinkedIn,Analyst / BA / SA,2026-05-14
linkedin_4413981710,"Medical Billing Specialist, DoctorCare",WELLSTAR Technologies,2026-05-14T20:33:17.172354,LinkedIn,Other,2026-05-14
linkedin_4414277705,"Administrative Assistant I, General, Electrophysiology Outpatient",University Health Network,2026-05-14T20:33:17.172815,LinkedIn,Admin / Clerical,2026-05-14
linkedin_4414231529,Records Clerk,CBI Health,2026-05-14T20:33:17.173293,LinkedIn,Other,2026-05-14
linkedin_4414186305,"Clerical Support Associate - Haemodialysis, Church",Humber River Health,2026-05-14T20:33:17.173905,LinkedIn,Admin / Clerical,2026-05-14
linkedin_4414179856,Unit Coordination Assistant (Full Time Temporary) -M Cardiac Short Stay,Trillium Health Partners,2026-05-14T20:33:17.174253,LinkedIn,Other,2026-05-14
linkedin_4414556147,Health Information Management Summer Student,Stevenson Memorial Hospital,2026-05-14T20:33:17.174635,LinkedIn,Health Admin / Records,2026-05-14
